,product_id,product_name,category_id,no_orders
807,55823,High Pressure Washer (Hot/Cold Water Cleaning Equipment),880,0
806,55771,Aller Oreo Float Tilapia (Feed for Growers),4124,0
805,55770,Aller Sana Float Tilapia (2mm Floating Feed),4124,0
804,55684,Imported Fully Galvanized Semi-Automatic Poultry Cage (96 birds capacity with PVC feeder),880,0
803,55587,SelEmmune Liquid (Vit E+Selenium+Biotin+Folic Acid | Limited Stock Available),2855,0
802,50034,PPS Liv-On Feed Additive (Liver Stimulant),2842,0
801,49870,PPS Vacc-Shield (Vaccine Stabilizer | Ayugen Pharma),2852,0
800,49867,PPS Stress Mate (Vitamin | Premix),2842,0
799,49331,Meat Cutter (Thick Stainless Steel | Locally Fabricated | 2Hp/3Hp Electric Motor),880,0
798,64979,Exotic Turkey Poults - Hybrid Converter Breed,2849,0
797,55803,LCD Display Scale (Rechargeable with Digital Display | 40kg Capacity),880,0
796,55518,High Capacity Carcass Washing Bowl (10/25 Birds/Batch | Stainless Steel | Locally  Fabricated),880,0
795,55450,Bully Max for Dogs (Muscle Builder Supplement | 60 Tablets),2839,0
794,55327,Chicken Friendly Boost (25 Solar Lamps + Panels 100Wp),880,0
793,55324,Chicken Friendly Solar Lights (Nine LED Lamps + Panel 35Wp),880,0
792,53713,ISA Brown Pullets (Day-Old | CHI Brand) - PreOrder (Within 3 Weeks),2848,0
791,53610,Evisceration Table for Poultry Processing (Stainless Steel | Fabricated | 8x4x3 Feet),880,0
790,Our drip hangers are necessitated for a cleaner poultry processing channel.,,Drip Hanger For Poultry Processing (200-250 Birds Capacity | 6x5x3ft),0
789,22235,Ear tag,2826,0
788,66072,Poxcare (Bifems Brand | Ampicillin Trihydrate + Streptomycin),2840,0
787,32361,TopFeed Aqua (Floating Feed Pellets for Catfish) - 15kg,4124,0
786,61495,50% Turkey Concentrate (Animal Care | 25kg),2701,0
785,60645,LED Solar Street Lights (90 Watt | 60 Watt),880,0
784,60626,Face Shield with Glass Frame (Transparent PE Film),6298,0
783,60564,L-Methionine (L-MET100 | CJ BIO Brand),2842,0
782,60554,Globamax 1000 (Growth/Performance Enhacer | VitaChem Brand),2842,0
781,60531,Enerzyme Combi Pro (Protein Optimizer),2842,0
780,60529,L-Lysine (CJ BIO Brand | L-Lys-HCl),2842,0
779,60503,Ring Die Feed Pelletizing Mill (HJK250-Type | 3-12t/h),880,0
778,60280,EDS Triple Action Vaccine (ND+IB+EDS | 1000 Doses) + Vaccine Carrier,2852,0
777,60273,Adaminolyte WSP (150g Per Sachet),2842,0
776,60263,Broiler Production Business Plan,2630,0
775,60123,High Capacity Defeathering Machine (Poultry Processing),880,0
774,49329,Stainless Steel Scalding Machine (5-8/10-15 Birds Per Batch | Gas Burner Heat Source | 3x2x3ft),973,0
773,47001,Plastic Transport Crate for Live Poultry with Access Door,880,0
772,60014,Nipple Drinker plus Saddle (Chakra Model | Poultry Drinking Lines) - Pack of 100 Pairs,880,0
771,59849,End Connector (For Drip Irrigation | 100Pcs/Pack),880,0
770,59822,Venturi (For Drip Irrigation),880,0
769,59668,Manure Dryer (Electric Powered | 2 Tons/Hour Capacity),880,0
768,59611,Manure Scraper (Electric Powered | 2/3 Blades Models | Imported-2/3 Months),880,0
767,59592,Breeder Snails (Achatina achatina | African Giant Snail | 200-250g),2622,0
766,24629,Wound Healing Cream (Insect Repellent) 10g,3388,0
765,22232,Pig Automatic Syringe,2826,0
764,22230,Pig Nipple Drinker,2826,0
763,22009,Local Layers Cage,2850,0
762,21936,Handheld Sprayer - 2L,880,0
761,21921,High Quality CP18 Knapsack sprayer - NEW,880,0
760,46380,Ear Tag for Small Ruminants (Pack of 100),2731,0
759,46359,Hybrid Feeds Starter Mash for Broiler Chicks - 25kg,2701,0
758,43629,High Precision Pan Scale (400 x 300 mm | 200kg Capacity),3564,0
757,42986,Cocoa Seedlings,4839,0
756,40257,High Capacity Feed Mill (Hammermill | Mixer | Electrical Starters | 2 Tons/Hour/Batch),880,0
755,39990,Budded Orange Seedlings (7-9 Months),4839,0
754,39953,Sour-sop Seedlings (7 Months Old | For Transplanting),4839,0
753,39935,Daily Multi (Chewable Multivitamin for Dogs | Pet Naturals | 150 Chews),2839,0
752,39934,Pro-Sense Multivitamin for Dogs (90 Chewable Tablets),2839,0
751,39699,Kolar Insecticide (Chlorpyrifos 20% EC) - 1Litre,2857,0
750,39354,Feed Pelleting Machine (3 Phase - Electric Powered Model),880,0
749,37954,300 Eggs Capacity Incubator (Fully Automated | Electric Powered-AC/DC),880,0
748,37041,Electric Powered Chicken/Meat Cutter (Locally Fabricated Model),880,0
747,37028,Hendrix Layer Concentrate (50kg Bag),2701,0
746,36674,Mature Broilers (6-8 Weeks | Live Birds),2622,0
745,36183,Multi-K® Absolute Fertilizer (Pure Potassium Nitrate) - 25kg,4793,0
744,36141,Old Layers (ISA Brown | Spent Hen),2622,0
743,35542,Turkey Starter Crumbles (Phase-1 Feeding | Happy Turkey Brand) - 25kg,2701,0
742,35411,BeesWax Blocks (1Kg),4676,0
741,35394,BeeHive Box with Metal Stand (For Honey Production),4676,0
740,35393,BeeHive,4676,0
739,35385,Beekeeping Suit (with Round Veil),4676,0
738,34631,Breedwell Layer Mash - 25kg Bag,2701,0
737,34469,Breedwell Grower Mash for Pullets/Layers - 25kg Bag,2701,0
736,34458,Breedwell Chick Mash for Pullets - 25kg Bag,2701,0
735,34452,Breedwell Broiler Finisher Mash - 25kg Bag,2701,0
734,34405,Feather Plucking Machine (5-6 Birds Capacity | Electric Powered | Indian Model),880,0
733,34347,Organic Neem Leaf Powder (Ope Farm Brand),4747,0
732,34346,The Organic Garden- Green and Easy,4745,0
731,34345,Hibiscus (Zobo) Leaves,,0
730,34343,Himalayan Salt,2683,0
729,34340,Flower Pots,,0
728,34329,6-Mixed Spice,2834,0
727,34294,Peanut Butter,2834,0
726,34290,Pure Honey (Natural | Organic | Ope Farms Brand),4676,0
725,34280,Breedwell Super Chick Mash - 25kg,2701,0
724,34258,Breedwell Super Mash - 25kg Bag,2701,0
723,34184,Iron Dextran (Iron-III Injectable Supplement for Livestock) 100ml,2839,0
722,34077,Silver Barb Fish (Ornamental Fish for Aquarium),876,0
721,33885,Chicken Cage Water Pressure Regulator (With Level Indicator),880,0
720,34174,VitaFlash (Injectable Multivitamin for Livestock) 100ml,2839,0
719,33343,Plastic Egg Transport Basket (One-Piece Plastic | 7 Crates Capacity),3050,0
718,33222,Clarias Spp Catfish Juveniles,876,0
717,33218,Orange Fancy-Tail Goldfish (Oranda Goldfish | Ornamental Fish for Aquarium),876,0
716,33193,Treated White Cabbage Seeds (Hybrid F1 Balashi Variety | BioStim Protected),4574,0
715,33158,Treated Watermelon Seeds (BioStim Protected) -100g,4574,0
714,33120,Treated Cucumber Seeds (Slicer Cucumbers | BioStim Protected),4574,0
713,33092,Treated Hot Pepper Seeds (F1 Harbad Hybrid | BioStim Protected),4574,0
712,33083,Treated Pepper De Cayenne Seeds (BioStim Protected | Bakker Brothers Brand),4574,0
711,33072,Treated Habanero Red Pepper Seeds (BioStim Protected | Bakker Brothers Brand),4574,0
710,32960,Combined Poultry Nipple Drinker (with Clip and Gravity Drip Cup),880,0
709,32909,Improved Bazuki Farm Tricycle Cart (2019 Model | Basco Brand),880,0
708,32608,African Eggplant Treated Seeds (Garden-Egg/Gueleward | BioStim Protected | Bakker Brothers Brand),4574,0
707,32561,Poultry Feeding Hopper (5kg | 18kg Feed Capacity),880,0
